airbus~airbus industrie jetliner airliner widebody
subsidies~subsidies subsidy surpluses payments quotas
south~south north southeast southern northeast
african~african africa korean asian africans 
sanctions~sanctions embargo embargoes restrictions curbs 
leveraged~leveraged lbo buyout restructurings buyouts 
buyouts~buyouts takeovers restructurings lbo mergers 
satellite~satellite satellites antenna geostationary spacecraft 
launch~launch launching liftoff launches blastoff 
contracts~contracts contract agreements contractors leases 
insider~insider fraud embezzlement kickback payola 
trading~trading firmed exchange traders market 
prime~prime premier congregationalist gamini cabinet 
lending~lending loans lenders interest borrowings 
rate~rate rates percent joblessness incidence 
moves~moves move steps measures initiatives 
predictions~predictions forecasts projections prediction assumptions 
mci~mci gte centel ibm sprint 
rail~rail railroad railway subway commuter 
strikes~strikes walkouts strike walkout demonstrations 
weather~weather climes climates dryness temperatures 
related~related unrelated linked relating connected 
fatalities~fatalities deaths fatality accidents casualties 
merit~merit frivolous meritorious valid punitive 
pay~pay paying paid repay reimburse 
vs~vs burstion maxcy abdoulaye cds 
seniority~seniority jobs salary proportional salaries 
israeli~israeli moroccan israel syrian iraqi 
role~role roles character involvement position 
in~in during since on of 
iran~iran iraq tehran libya iranian 
contra~contra contras nicaraguan mujahadeen rebel 
affair~affair scandal conversation relationship feud 
military~military army civilian naval navy 
coups~coups coup insurrections dictatorships juntas 
machine~machine machines stun gatling submachine 
translation~translation translations language translated subtitles 
hostage~hostage hostages captive captives captivity 
taking~taking took taken take takes 
information~information data documentation documents evidence 
retrieval~retrieval decoding coding dissemination disseminating 
systems~systems system components equipment facilities 
natural~natural finite renewable permeable superhot 
language~language dialect translation fluency languages 
processing~processing processor reprocessing processed desalinization 
politically~politically ideologically socially fiscally militarily 
motivated~motivated influenced inspired insensitive connected 
civil~civil uncivil unalienable fratricidal human 
disturbances~disturbances unrest rioting protests riots 
health~health nutrition medical welfare retardation 
hazards~hazards dangers hazard risks contamination 
from~from in and after through 
fine~fine fines penalties penalty fined 
diameter~diameter circumference wingspan centimeters vertically 
fibers~fibers coatings resins proteins fibrous 
attempts~attempts attempt efforts effort attempted 
to~to would will should might 
revive~revive revitalize resurrect reactivate derail 
the~the its of a their 
salt~salt saranac havasu laflamme sabbathday 
ii~ii iis rememberance beanfield archenemies 
treaty~treaty treaties pact accord agreement 
surrogate~surrogate surrogacy unwed euterpe expectant 
motherhood~motherhood liturgical feminine monogamy stereotypical 
border~border frontier borders demilitarized territory 
incursions~incursions incursion infiltrations attacks infiltration 
demographic~demographic climatic disparate macroeconomic societal 
shifts~shifts shift overtime changes shifting 
us~us me them him you 
across~across along around through throughout 
national~national rabbinical state regional international 
boundaries~boundaries borders boundary framework confines 
conflicting~conflicting differing contradictory divergent conflicted 
policy~policy policies strategy stance position 
automation~automation telecommunication electronics petrochemical cyber 
constitution~constitution law constitutional statute constitutionally 
original~original orginal initial actual current 
intent~intent intention intended purpose conspiracy 
poaching~poaching poachers smuggling baldness diabolically 
greenpeace~greenpeace mv bricklemyer vallette sternova 
political~political ideological religious politicial politial 
party~party parties socialists parliamentarian sajudis 
positions~positions posts position jobs views 
presidential~presidential gubernatorial mayoral presidental presidency 
candidates~candidates candidate contenders hopefuls nominees 
platforms~platforms sassan slicks platform rostam 
financial~financial economic investment liquidity banking 
crunch~crunch shortfalls squeeze woes crisis 
for~for without of and in 
televangelists~televangelists penner schemmel raine badders 
wake~wake aftermath amid following spite 
of~of including the in and 
genetic~genetic dna genes retrovirus receptor 
engineering~engineering aerospace aeronautical physics engineer 
measures~measures steps measure actions provisions 
protect~protect safeguard ensure defend preserve 
atmosphere~atmosphere climate stratosphere gases ozone 
alternative~alternative alternatives alternate substitute acceptable 
renewable~renewable geothermal fossil finite kinetic 
energy~energy agriculture transportation oil technology 
plant~plant plants facility factory reactor 
equipment~equipment machinery hardware components devices 
installation~installation installing doppler deployment facility 
official~official officials offical diplomat sources 
corruption~corruption nepotism bribery mismanagement cronyism 
bank~bank banks citibank bankers bancorp 
failures~failures failure setbacks problems losses 
criminal~criminal obscenity felony racketeering perjury 
actions~actions action activities measures steps 
against~against aginst againt favor oust 
officers~officers policemen officer guards soldiers 
failed~failed failing fails unable failure 
institutions~institutions thrifts institution banks ls 
crude~crude gasoline heating soybean distillate 
oil~oil petroleum oilfields crude gasoline 
price~price prices value output valuation 
trends~trends trend fluctuations fundamentals developments 
downstream~downstream upstream downriver upriver yamuna 
investments~investments investment holdings loans assets 
by~by has and since after 
opec~opec cartel ico gcc eec 
member~member members chairman comprised elects 
states~states nations countries canada emirates 
data~data statistics information figures analyses 
on~on in upon through for 
proven~proven proved prove proves shown 
reserves~reserves deposits outlays stockpiles outflow 
gas~gas gasoline propane ammonia anhydrous 
producers~producers refiners growers exporters farmers 
army~army military batallion soldiers unifil 
acquisition~acquisition transaction merger buyout takeover 
advanced~advanced retreated plummeted surged rebounded 
weapons~weapons weaponry weapon missiles arms 
international~international worldwide multilateral global intergovernmental 
sales~sales purchases exports earnings revenues 
what~what something everything how why 
backing~backing support backed supporting supporter 
does~does did doesn would could 
rifle~rifle pistol carbine rifles revolvers 
association~association assocation associations federation institute 
have~have had ve be has 
computer~computer computers supercomputer software computing 
aided~aided assisted hampered bolstered supported 
crime~crime crimes mafia prostitution genovese 
detection~detection detecting detect sensors sonar 
medical~medical dental psychiatric veterinary biomedical 
diagnosis~diagnosis diagnoses treatments chemotherapy prognosis 
fiber~fiber fibers protein wafers titanium 
optics~optics optic optical rayon soluble 
applications~applications applicants application requests extensions 
manufacturers~manufacturers companies importers makers manufacturer 
controlling~controlling control preventing enhancing curbing 
transfer~transfer transfers transferring seize relinquish 
high~high low highest higher treetop 
technology~technology tech technologies technological robotics 
design~design designs aerodynamic prototype styling 
star~star stars immunol superstar starring 
wars~wars war sdi tebo midgetman 
anti~anti pro anit opposing denouncing 
missile~missile missiles silkworm interceptor missles 
defense~defense justice pentagon interior sdi 
system~system systems structure mechanism program 
laser~laser lasers infrared particle neutrinos 
research~research studies study astrophysics reserach 
applicable~applicable enforceable applies required antidiscrimination 
uss~uss destroyer battleship barbey belknap 
strategic~strategic conventional sdi nuclear defensive 
initiative~initiative initiatives plan proposal proposals 
welfare~welfare afdc medicaid health education 
reform~reform reforms liberalization reforming decentralization 
catastrophic~catastrophic medicare medicaid enrollees surtax 
insurance~insurance insurer insurers reinsurance indemnity 
black~black hispanic female latino blacks 
monday~monday wednesday thursday friday tuesday 
control~control controls controlling precedence power 
japanese~japanese japan chinese british korean 
regulation~regulation regulations rules laws regulating 
protectionist~protectionist protectionism restrictive inflationary distorting 
find~find get see prove tell 
innovative~innovative ingenious imaginative unorthodox unconventional 
companies~companies firms corporations businesses company 
resistance~resistance insurgent resistence opposition rebel 
government~government goverment administration regime governments 
nuclear~nuclear atomic thermonuclear ballistic chemical 
proliferation~proliferation ballistic nonproliferation agression intepretation 
funding~funding financing funds aid spending 
biotechnology~biotechnology pharmaceutical biotech technology semiconductor 
new~new current gasquet knicks upstate 
space~space orbital spaceflight orbiting orbiter 
non~non guaranteeing nonsmokers oriented worldwide 
commercial~commercial commerical domestic worldwide recreational 
launches~launches launchings launch ariane payloads 
impact~impact impacts effects implications effect 
immigration~immigration customs ins administrative naturalization 
law~law laws statute constitution statutes 
generic~generic brandname dyazide bolar vitarine 
drug~drug narcotics drugs cocaine steroid 
substitutions~substitutions rescissions nfd iodide decongestants 
capacity~capacity utilization output capability workload 
cellular~cellular paging cable cordless franchises 
telephone~telephone phone telelphone telephones phones 
network~network networks arpanet television programming 
terrorists~terrorists extremists traffickers guerrillas hijackers 
economic~economic financial economy macroeconomic ecological 
terrorism~terrorism terrorist subversion terror zionist 
death~death deaths slaying arrest strangulation 
cancer~cancer leukemia cancers melanoma disease 
fighting~fighting battling fight battle battles 
drugs~drugs drug steroids cocaine amphetamines 
into~into through onto out back 
carcinogens~carcinogens contaminants carcinogenic toxins residues 
alternatives~alternatives remedies possibilities alternative options 
traditional~traditional traditionally modern traditions predominant 
therapies~therapies vaccines treatments antiviral streptokinase 
smoking~smoking smokers smoker puffing baldness 
ethics~ethics ethical judiciary impeachment fec 
and~and or including while in 
modern~modern contemporary baroque ancient architecture 
ussr~ussr moscow soviet aleksandr lobov 
arms~arms weapons armaments weaponry disarmament 
agreements~agreements agreement pacts accords accord 
privatization~privatization privatizing streamlining restructuring modernization 
state~state federal illinois national pennsylvania 
assets~assets debts holdings investments asset 
soviet~soviet kremlin moscow polish chinese 
spying~spying espionage spied slandering spies 
jewish~jewish sephardi jews sephardic religious 
emigration~emigration emigrate immigration refuseniks emigres 
relations~relations ties relationship contacts cooperation 
mcdonnell~mcdonnell stoneman boeing bernhart grumman 
douglas~douglas doug jeffery shawn sabey 
aircraft~aircraft planes airplane plane jets 
stealth~stealth bomber bs ea fsx 
hubble~hubble skylab magellan pegsat kvant 
telescope~telescope telescopes antenna nailpins unmanned 
human~human unalienable procreational reproductive trackage 
genome~genome chorionic immunodeficiency frailties lymphotropic 
project~project projects program cahora bassa 
possible~possible potential possibility feasible necessary 
contributions~contributions donations contribution contributors donation 
gene~gene bavin retrovirus aleese nmda 
mapping~mapping imaging doppler spreadsheet internet 
medicine~medicine veterinary dentistry cardiology pharmacology 
diversification~diversification diversify expansion privatization divestiture 
pacific~pacific atlantic gulf aleutian algarve 
telesis~telesis inno cathay ameritech bellsouth 
expansion~expansion growth expansions improvement expanding 
theme~theme themes attractions virtues amusement 
park~park forest parks bridger parkway 
industry~industry companies company industries manufacturers 
iranian~iranian iraqi libyan iran tehran 
support~support backing supporting sympathy commitment 
lebanese~lebanese syrian lebanon druse jordanian 
takers~takers taker takings aptitude strayer 
islamic~islamic moslem islam fundamentalist bolshevik 
revolution~revolution revolutions revolt monarchy uprising 
domestic~domestic worldwide foreign overseas commerical 
foreign~foreign foriegn overseas u domestic 
social~social socio societal political health 
consequences~consequences repercussions impacts implications ramifications 
fundamentalism~fundamentalism fanaticism zealots sects fundamentalists 
handling~handling handled mishandling disposing overseeing 
its~its their the our his 
trade~trade exports economic export imports 
surplus~surplus surpluses deficit shortfall defict 
with~with between and in while 
regulated~regulated regulate regulating enforced regulates 
grain~grain corn wheat grains soybean 
farming~farming ranching tilled farm irrigated 
why~why what if how whether 
farmers~farmers growers consumers ranchers producers 
management~management managment managers managerial buyout 
problems~problems difficulties problem troubles ills 
at~at in during near before 
united~united canada japan britain france 
nations~nations countries states democracies governments 
influence~influence clout influencing pressure leverage 
pro~pro anti backed leftist nationalist 
