airbus~airbus industrie jetliner airliner aircraft 
subsidies~subsidies subsidy subsidization subsidizes subsidized 
south~south north cuanavale ruacana southeast 
african~african africa mozambique africanist africans 
sanctions~sanctions embargoes embargo disinvestment sanction 
leveraged~leveraged buyout buyouts lbo lbos 
buyouts~buyouts leveraged restructurings takeovers lbos 
satellite~satellite satellites tdrs navstar geostationary 
launch~launch launching liftoff launches blastoff 
contracts~contracts contract subcontract subcontracting leases 
insider~insider frauds payola fraud kickback 
trading~trading directionless firmed seesawing merc 
prime~prime holkeri choonhavan minster tinsulanonda 
lending~lending loans lenders creditworthy interst 
rate~rate rates underemployment morbidity offsets 
moves~moves move steps entrenching iniatives 
predictions~predictions forecasts prediction projections assumptions 
mci~mci sprint tci mccaw centel 
rail~rail railroad railway trains freight 
strikes~strikes strike walkouts stoppages wildcat 
weather~weather unseasonably wetter climatic meteorologists 
related~related unrelated relating linked connected 
fatalities~fatalities fatality deaths accidents casualities 
merit~merit scholarship meritorious substantiation duplicative 
pay~pay paying paid pays payment 
vs~vs burstion roe vurstion brendale 
seniority~seniority rungs hirings apportioning tomich 
israeli~israeli israel palestinians israelis arabs 
role~role roles involvement peacemaker kingmaker 
in~in feburary mutikori reinvigoration dulcie 
iran~iran iraq tehran iranian iranians 
contra~contra contras calero nicaraguan montalvan 
affair~affair scandal irangate profumo imbroglio 
military~military miltary army militry miliary 
coups~coups insurrections coup juntas rebellions 
machine~machine machines carbine bazookas silencer 
translation~translation subtitles fluency translations fluently 
hostage~hostage hostages captives captive kidnappers 
taking~taking take took taken takes 
information~information data confidential intercepts secrets 
retrieval~retrieval publicizes calibrate profs diskette 
systems~systems system hookups inertial softwear 
natural~natural integrates renewable fluorine superheated 
language~language languages fluency english sinhala 
processing~processing processed desalinization reprocessing purex 
politically~politically ideologically fiscally socially culturally 
motivated~motivated remiss perpetration insinuation fazed 
civil~civil liberties organizaton slapp schwarzschild 
disturbances~disturbances unrest rioting protests demonstrations 
health~health uncompensated obstetrical wellness endocrinology 
hazards~hazards dangers hazard risks dioxins 
from~from boharski southwestward overburdening jasons 
fine~fine fines penalties fined stiffest 
diameter~diameter circumference millimeters wingspan centimeter 
fibers~fibers resins tubing adhesives coatings 
attempts~attempts attempt efforts effort attempted 
to~to cajole flexibly ot conscientiously 
revive~revive resurrect reignite rejuvenate invigorate 
the~the allots mutikori ncfc minox 
salt~salt havasu woodcliff teaspoons salinity 
ii~ii hellbound hellraiser iis mccloy 
treaty~treaty treaties pact inf accord 
surrogate~surrogate surrogacy bicouvaris unwed uebele 
motherhood~motherhood faithfulness pronouns mademoiselle procreation 
border~border borders frontier helmstedt demilitarized 
incursions~incursions infiltrations incursion shellings rebellions 
demographic~demographic sociological socioeconomic climatic postulates 
shifts~shifts shift realignments shifting workday 
u~u teheran unfpa glaspie bluffed 
s~s bonden tielman besuzzo annnounced 
across~across along northeastward around applachians 
national~national natonal nationa nationl naional 
boundaries~boundaries boundary borders redraw refuges 
conflicting~conflicting differing equivocal contradictory divergent 
policy~policy policies strategy stance committment 
automation~automation networked telecommunication automating imprimis 
constitution~constitution constitutions consitution constitutional framers 
original~original orginal doobies unreleased unproduced 
intent~intent intention intended purpose contravenes 
poaching~poaching poachers waterfowl coyotes anadromous 
greenpeace~greenpeace vallette mv bricklemyer plowder 
political~political politcal politial politicial democractic 
party~party berecz poliburo parties bharatiya 
positions~positions position posts posture stances 
presidential~presidential gubernatorial presidental mayoral clinches 
candidates~candidates candidate contenders hopefuls slates 
platforms~platforms sassan sirri rostam scanbay 
financial~financial finanical economic solvency capcom 
crunch~crunch shortfalls squeeze manacle overcapacity 
for~for betters thursay etak melodiya 
televangelists~televangelists sillars pitchmen sundowners venality 
wake~wake aftermath following spite amid 
of~of thereof ofthe offfice the 
ptl~ptl bakker dortch bakkers falwell 
scandal~scandal scandals koreagate affair irangate 
genetic~genetic genes mutation dna retrovirus 
engineering~engineering aeronautical subcontracted summa robotics 
measures~measures measure steps safeguards stategy 
protect~protect protecting safeguard preserve ensure 
atmosphere~atmosphere climate jovian radiated stratosphere 
alternative~alternative alternatives paratransit inadquate supplant 
renewable~renewable geothermal easements rechlh inexhaustible 
energy~energy agriculture ahearne renewables bernero 
plant~plant plants flats megawatt factory 
equipment~equipment machinery hardware scanners circuitry 
installation~installation overhauls countermeasures installing mothballing 
official~official offical officials semiofficial ageny 
corruption~corruption cronyism nepotism abuses bribery 
bank~bank banks taiyo bundesbank daiichi 
failures~failures insolvencies failure overbuilding bankruptcies 
criminal~criminal impeachable prosecutes felony sedition 
actions~actions action activities demotions steps 
against~against aginst againt agaist agaisnt 
officers~officers officer policemen plainclothed sentries 
failed~failed failing failure fails fail 
institutions~institutions insitutions thrifts institution ls 
crude~crude oil intemediate wti distillates 
oil~oil crude oilfields petroleum ocs 
price~price prices valuation midmonth deflator 
trends~trends trend downturns barometers commmodity 
downstream~downstream upstream downriver upriver downwind 
investments~investments investment holdings reinvested denominated 
by~by nomm outumbered outnumbers interlinked 
opec~opec cartel ico lukman overproduction 
member~member members mohorita repubican kwasniewski 
states~states united nations countries sates 
data~data statistics information telemetry analyses 
on~on anoymity konarski upon commencing 
proven~proven proved prove proves sucessful 
reserves~reserves reserve recoverable tcf stablize 
