airbus~airbus industrie jetliner airliner boeing 
south~south north southern southeast northeast 
african~african africa africans korean mozambican 
sanctions~sanctions embargo embargoes restrictions prohibitions 
leveraged~leveraged lbos lbo restructurings buyout 
buyouts~buyouts takeovers restructurings lbo mergers 
satellite~satellite satellites tdrs payload geostationary 
launch~launch launching liftoff launches blastoff 
contracts~contracts contract contractors agreements pacts 
insider~insider boesky fraud frauds criminal 
trading~trading traders market firmed stock 
prime~prime congregationalist gamini premier dudin 
lending~lending loans banks lenders lombard 
rate~rate rates percent cpi level 
moves~moves move steps initiatives changes 
predictions~predictions forecasts projections prediction assumptions 
mci~mci sprint gte contel ibm 
rail~rail railroad railway freight railroads 
strikes~strikes strike walkouts walkout stoppage 
weather~weather temperatures dryness precipitation unseasonably 
related~related unrelated linked involving connected 
fatalities~fatalities deaths fatality accidents casualties 
merit~merit meritorious accountability merits excellence 
pay~pay reimburse paying paid repay 
vs~vs farnham upholds ih upheld 
seniority~seniority jobs salary wages salaried 
israeli~israeli israel jordanian palestinian moroccan 
role~role roles involvement character position 
in~in during since of and 
iran~iran iranian tehran iranians iraq 
contra~contra contras nicaraguan calero mujahadeen 
affair~affair scandal relationship revelations hwang 
military~military army civilian naval government 
coups~coups coup insurrections dictatorships revolts 
machine~machine machines gatling submachine stun 
translation~translation translations language dialect subtitles 
hostage~hostage hostages captive captives kidnappers 
taking~taking took taken take takes 
information~information data documents documentation details 
retrieval~retrieval lexis transmitting database databases 
systems~systems system components equipment technologies 
natural~natural superheated renewable odorless conserving 
language~language translation languages translations dialect 
processing~processing processed processor distribution reprocessing 
politically~politically ideologically socially militarily economically 
motivated~motivated inspired influenced insensitive misguided 
civil~civil uncivil trackage human fratricidal 
disturbances~disturbances unrest protests riots rioting 
health~health nutrition retardation medical obstetrical 
hazards~hazards dangers hazard risks carcinogens 
from~from in and while after 
fine~fine fines penalties fined penalty 
diameter~diameter circumference wingspan reflector millimeters 
fibers~fibers coatings kevlar synthetic insulation 
attempts~attempts attempt efforts effort attempting 
to~to would should will might 
revive~revive revitalize restructure derail placate 
the~the its which a of 
salt~salt havasu woodcliff sakakawea celinda 
ii~ii rememberance remembrance vi vietnam 
treaty~treaty treaties pact accord agreement 
surrogate~surrogate surrogacy motherhood unwed parenting 
motherhood~motherhood surrogate parenting monogamy ingenue 
border~border frontier borders outposts territory 
incursions~incursions incursion infiltrations infiltration attacks 
demographic~demographic statistical disparate socioeconomic climatic 
shifts~shifts shift shifting overtime changes 
u~u foreign american soviet nation 
s~s the whose its his 
across~across along around through throughout 
national~national rabbinical state nationwide international 
boundaries~boundaries borders boundary confines bounds 
conflicting~conflicting differing contradictory conflicted divergent 
policy~policy policies strategy stance posture 
automation~automation electronics telecommunication semiconductors technology 
constitution~constitution constitutional law constitutionally clause 
original~original updated reworked colorized objectionable 
intent~intent intention intended purpose desire 
poaching~poaching poachers waterfowl narcotics semites 
greenpeace~greenpeace deeble mv vallette gondwana 
political~political ideological democratic espousing politial 
party~party krunic suvar stipe centrist 
positions~positions posts position views posture 
presidential~presidential gubernatorial mayoral presidental presidency 
candidates~candidates candidate contenders hopefuls nominees 
platforms~platforms sassan rostam tankers ships 
financial~financial economic liquidity banking investment 
crunch~crunch woes squeeze shortage troubles 
for~for and while of on 
televangelists~televangelists televangelist evangelists abrahams devilles 
wake~wake aftermath following amid spite 
of~of including the in and 
ptl~ptl bakker bakkers dortch falwell 
scandal~scandal scandals revelations affair controversy 
genetic~genetic dna genes proteins chromosome 
engineering~engineering aeronautical aerospace engineer robotics 
measures~measures steps actions precautions safeguards 
protect~protect safeguard protecting preserve defend 
atmosphere~atmosphere climate gases auroras clouds 
alternative~alternative alternatives substitute alternate option 
renewable~renewable geothermal fossil conserving natural 
energy~energy agriculture transportation tritium renewable 
plant~plant plants facility factory reactor 
equipment~equipment machinery hardware devices components 
installation~installation doppler installing constructing install 
official~official officials offical diplomat sources 
corruption~corruption nepotism bribery abuses mismanagement 
bank~bank banks citibank bundesbank bankers 
failures~failures failure losses problems setbacks 
criminal~criminal impeachable sedition obscenity felony 
actions~actions action activities measures steps 
against~against againt favor anti oust 
officers~officers policemen officer troopers guards 
failed~failed failing unable fails failure 
institutions~institutions thrifts institution banks ls 
crude~crude barrel gasoline wti heating 
oil~oil petroleum oilfields refineries gasoline 
price~price prices value valuation output 
trends~trends trend developments fundamentals sluggishness 
downstream~downstream upstream downriver upriver monongahela 
investments~investments investment holdings loans assets 
by~by which also and the 
opec~opec cartel ico gcc subroto 
member~member members chairman comprised chaired 
states~states nations countries emirates kingdom 
data~data statistics information figures analyses 
on~on upon in through while 
proven~proven proved proves prove shown 
reserves~reserves deposits outflow stockpiles debt 
gas~gas gasoline jerker gassed atropine 
producers~producers processors exporters growers farmers 
army~army batallion soldiers military brigades 
acquisition~acquisition merger transaction purchase buyout 
advanced~advanced retreated rebounded sophisticated rose 
weapons~weapons weaponry weapon missiles arms 
