airbus~airbus industrie airliner jetliner boeing 
subsidies~subsidies subsidy surpluses benefits payments 
south~south north southern southeast northeast 
african~african africa africans korean carolinians 
sanctions~sanctions embargo embargoes restrictions curbs 
leveraged~leveraged lbos lbo restructurings buyout 
buyouts~buyouts takeovers restructurings lbos mergers 
satellite~satellite satellites payload tdrs navstar 
launch~launch liftoff launching launches blastoff 
contracts~contracts contract contractors pacts agreements 
insider~insider boesky fraud frauds speculator 
trading~trading traders market firmed dealings 
prime~prime congregationalist bhagat bohuslav gamini 
lending~lending loans banks lenders borrowing 
rate~rate rates percent cpi ratio 
moves~moves move steps changes overtures 
predictions~predictions forecasts projections prediction assumptions 
mci~mci gte sprint ibm comcast 
rail~rail railroad freight railway railroads 
strikes~strikes strike walkouts walkout stoppages 
weather~weather precipitation dryness temperatures rainfall 
related~related unrelated linked involving relating 
fatalities~fatalities deaths fatality accidents incidents 
merit~merit excellence frivolous specifying academic 
pay~pay paying paid reimburse repay 
vs~vs upholds unchanged farnham retried 
seniority~seniority salary jobs employees managerial 
israeli~israeli israel jordanian palestinian syrian 
role~role roles involvement character portrayal 
in~in during since and of 
iran~iran iranian tehran iranians baghdad 
contra~contra contras nicaraguan calero covert 
affair~affair scandal relationship revelations furor 
military~military army civilian naval materiel 
coups~coups coup insurrections revolts dictatorship 
machine~machine machines gatling stun submachine 
translation~translation translations language dialect dictionary 
hostage~hostage hostages captive captives kidnappers 
taking~taking took taken take takes 
information~information data documents documentation material 
retrieval~retrieval lexis databases transmitting interactive 
systems~systems system components databases equipment 
natural~natural renewable odorless mineral chromatography 
language~language translation languages dialect translations 
processing~processing processed distribution processor processors 
politically~politically ideologically socially culturally militarily 
motivated~motivated inspired influenced unjustified insensitive 
civil~civil human uncivil trackage fratricidal 
disturbances~disturbances unrest riots protests rioting 
health~health prenatal nutrition retardation medical 
hazards~hazards hazard dangers risks problems 
from~from in and while after 
fine~fine fines penalties fined penalities 
diameter~diameter circumference wingspan vertically wheelbase 
fibers~fibers resin coatings synthetic epoxy 
attempts~attempts attempt efforts effort attempted 
to~to would should will might 
revive~revive revitalize placate resurrect resuscitate 
the~the its which a of 
salt~salt havasu sakakawea woodcliff celinda 
ii~ii rememberance remembrance iis vi 
treaty~treaty treaties pact accord accords 
surrogate~surrogate surrogacy unwed expectant parenting 
motherhood~motherhood parenting heroine sexuality contraception 
border~border frontier borders territory outposts 
incursions~incursions incursion infiltrations infiltration attacks 
demographic~demographic statistical socioeconomic climatic blsa 
shifts~shifts shift shifting overtime rotating 
u~u foreign american nation fakhoury 
s~s the whose its his 
across~across along around through throughout 
national~national rabbinical state consultative nationwide 
boundaries~boundaries borders boundary bounds framework 
conflicting~conflicting differing conflicted contradictory differed 
policy~policy policies strategy stance position 
automation~automation automated semiconductors rolm electronics 
constitution~constitution constitutional law constitutionally clause 
original~original unreleased originally updated identical 
intent~intent intention intended purpose conspiracy 
poaching~poaching poachers coyotes semites baldness 
greenpeace~greenpeace vallette gondwana mv deeble 
political~political ideological politics politial legislative 
party~party renovica harilaos parties socialists 
positions~positions posts position posture views 
presidential~presidential gubernatorial mayoral presidental presidency 
candidates~candidates candidate contenders hopefuls nominees 
platforms~platforms sassan tankers sirri ships 
financial~financial economic banking investment liquidity 
crunch~crunch woes troubles squeeze crises 
for~for and of while instead 
televangelists~televangelists headly naziism louisburg evangelical 
wake~wake aftermath amid following sparked 
of~of including the and in 
ptl~ptl bakker bakkers dortch falwell 
scandal~scandal scandals revelations affair controversy 
genetic~genetic dna genes proteins chromosome 
engineering~engineering aeronautical engineer aerospace metallurgical 
measures~measures steps actions precautions initiatives 
protect~protect safeguard protecting defend preserve 
atmosphere~atmosphere climate gases stratosphere climates 
alternative~alternative alternatives substitute option acceptable 
renewable~renewable fossil conserving geothermal finite 
energy~energy agriculture transportation tritium treasury 
plant~plant plants facility factory reactor 
equipment~equipment machinery hardware devices components 
installation~installation installing doppler avionics radars 
official~official officials offical diplomat sources 
corruption~corruption nepotism abuses cronyism mismanagement 
bank~bank banks citibank ichi bankers 
failures~failures losses problems setbacks mishaps 
criminal~criminal felony perjury impeachable racketeering 
actions~actions action activities measures steps 
against~against againt favor aginst anti 
officers~officers policemen troopers officer guards 
failed~failed failing fails unable failure 
institutions~institutions thrifts institution banks corporations 
crude~crude barrel wti gasoline heating 
oil~oil petroleum oilfields oilfield onshore 
price~price prices value priced valuation 
trends~trends trend developments sluggishness indicators 
downstream~downstream upstream downriver upriver creeks 
investments~investments investment holdings assets loans 
by~by which also and the 
opec~opec cartel ico gcc subroto 
member~member members chairman comprised chaired 
states~states nations countries emirates kingdom 
data~data statistics information figures analyses 
on~on upon in through and 
proven~proven proved proves prove shown 
reserves~reserves deposits stockpiles investments debt 
gas~gas jerker gases gasoline gassed 
producers~producers exporters farmers refiners processors 
army~army soldiers batallion military paratroop 
acquisition~acquisition merger transaction buyout purchase 
advanced~advanced retreated rebounded soared rose 
weapons~weapons weaponry weapon missiles arms 
international~international worldwide global multilateral internationl 
sales~sales purchases exports earnings imports 
what~what something how why everything 
